"Player","Team","Pass Completions"
"Sam Darnold ","SF","1,143"
"Deshaun Watson ","CLE","1,102"
"Joe Flacco ","FA","1,051"
"Cooper Rush ","DAL","1,051"
"Jameis Winston ","NO","858"
"Bailey Zappe ","NE","781"
"Colt McCoy ","ARI","780"
"P.J. Walker ","CHI","731"
"Desmond Ridder ","ATL","708"
"Teddy Bridgewater ","FA","683"
"Gardner Minshew II ","IND","663"
"Tyler Huntley ","BAL","658"
"Jarrett Stidham ","DEN","656"
"Sam Ehlinger ","IND","573"
"Skylar Thompson ","MIA","534"
"Brett Rypien ","LAR","483"
"Kyle Allen ","BUF","416"
"Trace McSorley ","NE","412"
"Joshua Dobbs ","CLE","411"
"David Blough ","ARI","402"
"John Wolford ","TB","390"
"Anthony Brown ","BAL","302"
"Malik Willis ","TEN","276"
"Taysom Hill ","NO","240"
""
"Player","Team","Pass TDs"
"Patrick Mahomes II ","KC","41"
"Joe Burrow ","CIN","35"
"Josh Allen ","BUF","35"
"Geno Smith ","SEA","30"
"Jared Goff ","DET","29"
"Kirk Cousins ","MIN","29"
"Aaron Rodgers ","NYJ","26"
"Tua Tagovailoa ","MIA","25"
"Justin Herbert ","LAC","25"
"Trevor Lawrence ","JAC","25"
"Tom Brady ","FA","25"
"Derek Carr ","NO","24"
"Dak Prescott ","DAL","23"
"Jalen Hurts ","PHI","22"
"Andy Dalton ","CAR","18"
"Lamar Jackson ","BAL","17"
"Justin Fields ","CHI","17"
"Davis Mills ","HOU","17"
"Russell Wilson ","DEN","16"
"Jimmy Garoppolo ","LV","16"
"Marcus Mariota ","PHI","15"
"Daniel Jones ","NYG","15"
"Kyler Murray ","ARI","14"
"Mac Jones ","NE","14"
"Matt Ryan ","FA","14"
"Ryan Tannehill ","TEN","13"
"Brock Purdy ","SF","13"
"Taylor Heinicke ","ATL","12"
"Jacoby Brissett ","WAS","12"
"Carson Wentz ","FA","11"
"Baker Mayfield ","TB","10"
"Matthew Stafford ","LAR","10"
"Sam Darnold ","SF","7"
"Deshaun Watson ","CLE","7"
"Kenny Pickett ","PIT","7"
"Zach Wilson ","NYJ","6"
"Bailey Zappe ","NE","5"
"Cooper Rush ","DAL","5"
"Joe Flacco ","FA","5"
"Teddy Bridgewater ","FA","4"
