"Rank","Player","Team","Bye","POS","Yahoo","Fantrax","FFC","Sleeper","AVG"
"113","Quentin Johnston","LAC","5","WR47","","","","","110.3"
"114","Rashaad Penny","PHI","10","RB40","","","","","111.0"
"115","Damien Harris","BUF","13","RB41","","","","","111.3"
"116","Elijah Moore","CLE","5","WR48","","","","","112.7"
"117","Jameson Williams","DET","9","WR49","","","","","113.3"
"118","Russell Wilson","DEN","9","QB18","","","","","115.7"
"119","Zay Flowers","BAL","13","WR50","","","","","117.3"
"120","Odell Beckham Jr.","BAL","13","WR51","","","","","119.0"
"121","Dalton Schultz","HOU","7","TE11","","","","","121.3"
"122","Allen Lazard","NYJ","7","WR52","","","","","121.7"
"123","Elijah Mitchell","SF","9","RB42","","","","","124.0"
"124","Jakobi Meyers","LV","13","WR53","","","","","125.0"
"125","Chigoziem Okonkwo","TEN","7","TE12","","","","","126.3"
"126","Jerick McKinnon","KC","10","RB43","","","","","127.0"
"127","Derek Carr","NO","11","QB19","","","","","128.3"
"128","Dalton Kincaid","BUF","13","TE13","","","","","130.3"
"129","Cole Kmet","CHI","13","TE14","","","","","132.3"
"130","Tyler Allgeier","ATL","11","RB44","","","","","133.7"
"131","K.J. Osborn","MIN","13","WR54","","","","","135.3"
"132","Matthew Stafford","LAR","10","QB20","","","","","136.0"
"133","Darnell Mooney","CHI","13","WR55","","","","","136.0"
"134","Adam Thielen","CAR","7","WR56","","","","","137.0"
"135","Tyler Boyd","CIN","7","WR57","","","","","137.7"
"136","Kendre Miller","NO","11","RB45","","","","","137.7"
"137","D'Onta Foreman","CHI","13","RB46","","","","","139.0"
"138","Skyy Moore","KC","10","WR58","","","","","140.3"
"139","Tyler Higbee","LAR","10","TE15","","","","","140.7"
"140","Zay Jones","JAC","9","WR59","","","","","141.7"
"141","Jordan Love","GB","6","QB21","","","","","143.3"
"142","Rondale Moore","ARI","14","WR60","","","","","144.3"
"143","Kyler Murray","ARI","14","QB22","","","","","146.0"
"144","Raheem Mostert","MIA","10","RB47","","","","","147.3"
"145","Greg Dulcich","DEN","9","TE16","","","","","149.7"
"146","Devin Singletary","HOU","7","RB48","","","","","150.3"
"147","Donovan Peoples-Jones","CLE","5","WR61","","","","","150.3"
"148","Juwan Johnson","NO","11","TE17","","","","","151.0"
"149","Roschon Johnson","CHI","13","RB49","","","","","151.0"
"150","Kenny Pickett","PIT","6","QB23","","","","","152.7"
"151","Ezekiel Elliott","","","RB50","","","","","156.7"
"152","Irv Smith Jr.","CIN","7","TE18","","","","","157.0"
"153","Nico Collins","HOU","7","WR62","","","","","158.3"
"154","Tank Bigsby","JAC","9","RB51","","","","","159.3"
"155","Rashee Rice","KC","10","WR63","","","","","160.0"
"156","Romeo Doubs","GB","6","WR64","","","","","160.7"
"157","Bryce Young","CAR","7","QB24","","","","","161.3"
"158","Kenneth Gainwell","PHI","10","RB52","","","","","161.7"
"159","Jeff Wilson Jr.","MIA","10","RB53","","","","","162.3"
"160","Jonathan Mingo","CAR","7","WR65","","","","","164.3"
"161","Jaylen Warren","PIT","6","RB54","","","","","165.0"
"162","Jalin Hyatt","NYG","13","WR66","","","","","165.7"
"163","Leonard Fournette","","","RB55","","","","","166.3"
"164","Gerald Everett","LAC","5","TE19","","","","","167.3"
"165","Alec Pierce","IND","11","WR67","","","","","167.7"
"166","Kareem Hunt","","","RB56","","","","","168.7"
"167","Dawson Knox","BUF","13","TE20","","","","","169.3"
"168","Sam LaPorta","DET","9","TE21","","","","","173.3"
"169","Michael Gallup","DAL","7","WR68","","","","","174.7"
"170","DJ Chark Jr.","CAR","7","WR69","","","","","174.7"
"171","Mike Gesicki","NE","11","TE22","","","","","176.7"
"172","C.J. Stroud","HOU","7","QB25","","","","","177.3"
"173","Jimmy Garoppolo","LV","13","QB26","","","","","178.0"
"174","Chuba Hubbard","CAR","7","RB57","","","","","178.3"
"175","Wan'Dale Robinson","NYG","13","WR70","","","","","180.3"
"176","Tyjae Spears","TEN","7","RB58","","","","","180.3"
"177","Michael Mayer","LV","13","TE23","","","","","182.7"
"178","Chase Brown","CIN","7","RB59","","","","","182.7"
"179","Trey Lance","SF","9","QB27","","","","","183.7"
"180","Rashid Shaheed","NO","11","WR71","","","","","184.3"
"181","San Francisco 49ers","DST","9","DST1","","","","","139.5"
"182","Marquez Valdes-Scantling","KC","10","WR72","","","","","191.7"
"183","Mac Jones","NE","11","QB28","","","","","192.7"
"184","Sam Howell","WAS","14","QB29","","","","","193.3"
"185","Jerome Ford","CLE","5","RB60","","","","","193.7"
"186","Brock Purdy","SF","9","QB30","","","","","195.7"
"187","Philadelphia Eagles","DST","10","DST2","","","","","154.5"
"188","Hayden Hurst","CAR","7","TE24","","","","","196.7"
"189","Chase Claypool","CHI","13","WR73","","","","","197.3"
"190","Hunter Renfrow","LV","13","WR74","","","","","198.0"
"191","Dallas Cowboys","DST","7","DST3","","","","","158.0"
"192","Curtis Samuel","WAS","14","WR75","","","","","198.3"
"193","Jayden Reed","GB","6","WR76","","","","","199.0"
"194","Josh Downs","IND","11","WR77","","","","","200.0"
"195","Zach Evans","LAR","10","RB61","","","","","200.3"
"196","Desmond Ridder","ATL","11","QB31","","","","","203.0"
"197","New England Patriots","DST","11","DST4","","","","","165.5"
"198","Van Jefferson","LAR","10","WR78","","","","","203.7"
"199","John Metchie III","HOU","7","WR79","","","","","204.0"
"200","Gus Edwards","BAL","13","RB62","","","","","204.3"
"201","Isaiah Hodgins","NYG","13","WR80","","","","","204.7"
"202","Joshua Palmer","LAC","5","WR81","","","","","206.3"
"203","Buffalo Bills","DST","13","DST5","","","","","172.5"
"204","Zach Ertz","ARI","14","TE25","","","","","208.3"
"205","Marvin Mims Jr.","DEN","9","WR82","","","","","209.3"
"206","Cordarrelle Patterson","ATL","11","RB63","","","","","209.3"
"207","Clyde Edwards-Helaire","KC","10","RB64","","","","","209.7"
"208","Trey McBride","ARI","14","TE26","","","","","211.0"
"209","Tyler Conklin","NYJ","7","TE27","","","","","213.0"
"210","Hunter Henry","NE","11","TE28","","","","","213.7"
"211","Tyquan Thornton","NE","11","WR83","","","","","214.7"
"212","Ryan Tannehill","TEN","7","QB32","","","","","216.3"
"213","Noah Fant","SEA","5","TE29","","","","","217.7"
"214","Michael Carter","NYJ","7","RB65","","","","","219.3"
"215","Mecole Hardman Jr.","NYJ","7","WR84","","","","","220.0"
"216","Taysom Hill","NO","11","TE30","","","","","224.3"
"217","New York Jets","DST","7","DST6","","","","","191.0"
"218","Baltimore Ravens","DST","13","DST7","","","","","195.5"
"219","Parris Campbell","NYG","13","WR85","","","","","223.3"
"220","Baker Mayfield","TB","5","QB33","","","","","224.3"
"221","Israel Abanikanda","NYJ","7","RB66","","","","","224.3"
"222","Joshua Kelley","LAC","5","RB67","","","","","224.7"
"223","Isaiah Likely","BAL","13","TE31","","","","","225.0"
"224","Luke Musgrave","GB","6","TE32","","","","","226.0"
"225","Tank Dell","HOU","7","WR86","","","","","228.0"
"226","Robert Woods","HOU","7","WR87","","","","","229.0"
"227","Kansas City Chiefs","DST","10","DST8","","","","","205.0"
"228","Khalil Shakir","BUF","13","WR88","","","","","230.0"
"229","Miami Dolphins","DST","10","DST9","","","","","207.5"
"230","Pittsburgh Steelers","DST","6","DST10","","","","","208.5"
"231","James Robinson","NE","11","RB68","","","","","233.0"
"232","Deuce Vaughn","DAL","7","RB69","","","","","233.7"
"233","Jake Ferguson","DAL","7","TE33","","","","","234.0"
"234","Allen Robinson II","PIT","6","WR89","","","","","237.7"
"235","Denver Broncos","DST","9","DST11","","","","","217.5"
"236","Richie James Jr.","KC","10","WR90","","","","","238.3"
"237","Jelani Woods","IND","11","TE34","","","","","241.3"
"238","Jacksonville Jaguars","DST","9","DST12","","","","","223.5"
"239","Darius Slayton","NYG","13","WR91","","","","","243.0"
"240","New Orleans Saints","DST","11","DST13","","","","","226.0"
"241","Tim Patrick","DEN","9","WR92","","","","","243.7"
"242","Cincinnati Bengals","DST","7","DST14","","","","","227.5"
"243","Cedric Tillman","CLE","5","WR93","","","","","245.3"
"244","Seattle Seahawks","DST","5","DST15","","","","","229.0"
"245","Cleveland Browns","DST","5","DST16","","","","","236.5"
"246","Greg Dortch","ARI","14","WR94","","","","","237.0"
"247","Terrace Marshall Jr.","CAR","7","WR95","","","","","251.3"
"248","Marvin Jones Jr.","DET","9","WR96","","","","","257.7"
"249","Cade Otton","TB","5","TE35","","","","","254.3"
"250","Washington Commanders","DST","14","DST17","","","","","242.5"
"251","Pierre Strong Jr.","NE","11","RB70","","","","","254.7"
"252","Will Levis","TEN","7","QB34","","","","","256.3"
"253","New York Giants","DST","13","DST18","","","","","243.5"
"254","Zamir White","LV","13","RB71","","","","","257.3"
"255","Los Angeles Chargers","DST","5","DST19","","","","","246.0"
"256","Ty Chandler","MIN","13","RB72","","","","","271.0"
"257","Tampa Bay Buccaneers","DST","5","DST20","","","","","246.5"
"258","Indianapolis Colts","DST","11","DST21","","","","","251.5"
"259","Chase Edmonds","TB","5","RB73","","","","","258.0"
"260","DeVante Parker","NE","11","WR97","","","","","264.7"
"261","Sean Tucker","TB","5","RB74","","","","","253.5"
"262","Eric Gray","NYG","13","RB75","","","","","260.0"
"263","Matt Breida","NYG","13","RB76","","","","","251.0"
"264","DeWayne McBride","MIN","13","RB77","","","","","262.3"
"265","Latavius Murray","BUF","13","RB78","","","","","264.0"
"266","Mack Hollins","ATL","11","WR98","","","","","270.3"
"267","Corey Davis","NYJ","7","WR99","","","","","252.5"
"268","Green Bay Packers","DST","6","DST22","","","","","253.5"
"269","Kyren Williams","LAR","10","RB79","","","","","276.0"
"270","Justyn Ross","KC","10","WR100","","","","","254.0"
"271","Trayveon Williams","CIN","7","RB80","","","","","258.0"
"272","Evan Hull","IND","11","RB81","","","","","272.0"
"273","Tutu Atwell","LAR","10","WR101","","","","","276.0"
"274","Josh Reynolds","DET","9","WR102","","","","","260.0"
"275","Detroit Lions","DST","9","DST23","","","","","242.0"
"276","Gardner Minshew II","IND","11","QB35","","","","","260.5"
"277","Luke Schoonmaker","DAL","7","TE36","","","","","268.0"
"278","Michael Wilson","ARI","14","WR103","","","","","276.5"
"279","Keaontay Ingram","ARI","14","RB82","","","","","262.0"
"280","Kayshon Boutte","NE","11","WR104","","","","","262.0"
"281","Carolina Panthers","DST","7","DST24","","","","","246.0"
"282","Puka Nacua","LAR","10","WR105","","","","","246.0"
"283","Jarvis Landry","","","WR106","","","","","251.0"
"284","Nick Westbrook-Ikhine","TEN","7","WR107","","","","","251.0"
"285","Los Angeles Rams","DST","10","DST25","","","","","254.0"
"286","Logan Thomas","WAS","14","TE37","","","","","270.7"
"287","Russell Gage","TB","5","WR108","","","","","276.0"
"288","Nyheim Hines","BUF","13","RB83","","","","","276.5"
"289","Xavier Hutchinson","HOU","7","WR109","","","","","290.0"
"290","Malik Davis","DAL","7","RB84","","","","","272.5"
"291","Deonte Harty","BUF","13","WR110","","","","","258.0"
"292","Olamide Zaccheaus","PHI","10","WR111","","","","","259.0"
"293","Tennessee Titans","DST","7","DST26","","","","","260.0"
"294","Chosen Anderson","MIA","10","WR112","","","","","260.0"
"295","Isaiah Spiller","LAC","5","RB85","","","","","262.0"
"296","Ty Montgomery","NE","11","RB86","","","","","263.0"
"297","Kyle Philips","TEN","7","WR113","","","","","281.0"
"298","Laviska Shenault Jr.","CAR","7","WR114","","","","","267.0"
"299","Minnesota Vikings","DST","13","DST27","","","","","268.0"
"300","A.T. Perry","NO","11","WR115","","","","","268.0"
"301","Jacoby Brissett","WAS","14","QB36","","","","","269.0"
"302","Mike White","MIA","10","QB37","","","","","282.7"
"303","Houston Texans","DST","7","DST28","","","","","273.0"
"304","Austin Hooper","LV","13","TE38","","","","","287.5"
"305","Sterling Shepard","NYG","13","WR116","","","","","276.0"
"306","Albert Okwuegbunam","DEN","9","TE39","","","","","279.0"
"307","Ronald Jones II","DAL","7","RB87","","","","","280.0"
"308","Zonovan Knight","NYJ","7","RB88","","","","","281.0"
"309","Sam Darnold","SF","9","QB38","","","","","282.0"
"310","Tyler Scott","","","DE1","","","","","285.0"
"311","Daniel Bellinger","NYG","13","TE40","","","","","286.0"
"312","D'Ernest Johnson","JAC","9","RB89","","","","","287.0"
"313","Atlanta Falcons","DST","11","DST29","","","","","287.0"
